Segment_ID,RMS_Noisy,RMS_Cleaned,RMS_diff,Correlation,P_Value
77.0,77.3887,3.1007,74.288,0.3484,1.4479860085180046e-59
78.0,93.1602,3.7769,89.3833,-0.5845,1.0629683247458023e-11
79.0,63.9465,3.522,60.4245,-0.047,1.0763468993672234e-89
80.0,97.0994,4.0444,93.055,0.3232,8.86645610366294e-26
81.0,66.732,2.6531,64.0789,0.1368,7.942571272057512e-96
82.0,68.4331,3.0135,65.4196,0.1748,1.912003423007009e-14
83.0,98.6865,4.7748,93.9117,0.1391,1.0350705012079293e-16
84.0,91.6938,5.0614,86.63239999999999,0.1823,0.5804402354613043
85.0,138.1528,6.1434,132.00940000000003,-0.0146,0.900955262449486
86.0,92.4961,3.9918,88.5043,0.3396,7.509448078926535e-27
87.0,133.5742,6.0345,127.5397,0.0387,6.076327392739452e-30
88.0,98.3521,4.1205,94.23159999999999,0.4518,4.575096305221715e-43
89.0,88.7046,3.6381,85.0665,-0.0136,4.258603650129988e-15
90.0,92.648,3.6665,88.9815,-0.3939,9.23003734856175e-14
91.0,89.9124,4.0381,85.8743,0.0725,3.5562756276268394e-25
92.0,79.1459,4.0453,75.1006,0.2389,1.6336643873203676e-103
93.0,78.1701,3.5975,74.57260000000001,0.2274,6.554617458296876e-07
94.0,42.8995,2.19,40.709500000000006,0.0296,1.461459169541535e-11
95.0,85.0555,3.5746,81.48089999999999,0.4131,1.126850843560458e-21
96.0,62.9,2.806,60.094,0.2864,5.5280362782523105e-104
97.0,86.2291,3.6633,82.5658,-0.1835,0.028313069455154317
98.0,72.3873,4.1891,68.1982,0.0475,0.005298651544935547
99.0,63.1186,2.5617,60.5569,-0.0397,1.7671448673673082e-35
100.0,42.3117,2.1378,40.1739,-0.1449,5.253095899226891e-67
101.0,76.9394,3.1146,73.82480000000001,0.3019,0.05904031022280956
102.0,68.3381,2.8376,65.5005,0.2015,0.4130067915700544
103.0,82.7208,3.328,79.3928,0.2962,0.13352864177151727
104.0,93.7202,4.0375,89.68270000000001,0.2987,5.571493760710867e-37
105.0,51.4036,2.5424,48.8612,0.1811,5.5058375299342267e-14
106.0,74.5186,2.9152,71.60340000000001,-0.0355,0.41739181600772235
107.0,79.0908,4.1715,74.9193,-0.3811,7.814388522583354e-31
108.0,29.954,1.5376,28.4164,-0.0427,2.470929575568154e-21
109.0,60.658,2.6811,57.9769,-0.1149,0.006876418865425989
110.0,27.6418,1.9926,25.6492,-0.1194,0.0010774307841675765
111.0,36.1906,1.8926,34.298,0.0427,0.027882444910543206
112.0,79.799,4.2217,75.57730000000001,0.1065,1.7298278194607954e-22
113.0,230.7876,8.8117,221.9759,0.033,1.6960197608501273e-07
114.0,86.2157,3.9934,82.2223,-0.098,1.0713724259966844e-53
115.0,131.639,5.2579,126.3811,0.0549,2.953390319933244e-58
116.0,157.2966,5.9639,151.33270000000002,-0.0288,3.758830043537384e-80
117.0,133.2327,5.9457,127.28699999999999,-0.2269,2.9605882947062816e-14
118.0,103.2912,4.4314,98.8598,-0.003,0.0022434199369466223
119.0,100.728,5.1162,95.61179999999999,0.086,0.02333255561105254
120.0,87.9049,4.2081,83.6968,0.184,1.2779293642794724e-07
121.0,60.5708,5.1561,55.414699999999996,-0.0476,3.7061586063022913e-31
122.0,52.1518,2.5289,49.6229,0.1371,0.005128223863279915
123.0,43.1674,2.4132,40.7542,0.1487,0.29256862580565246
124.0,92.5416,4.5039,88.0377,-0.1808,9.228831190236535e-20
125.0,31.1487,1.8439,29.3048,0.1812,0.0002365816028889848
126.0,47.1165,2.8016,44.3149,0.1736,3.63911588828323e-05
127.0,53.1912,3.266,49.925200000000004,-0.08,1.2661796521393956e-12
128.0,49.85,2.1915,47.658500000000004,-0.0004,7.193348645480102e-07
129.0,57.458,3.4968,53.9612,-0.2842,1.7379813389779088e-10
130.0,44.8651,2.5829,42.282199999999996,-0.1557,0.006703723809711097
131.0,53.9093,2.795,51.1143,0.1629,8.384931231657905e-06
132.0,56.733,2.5959,54.1371,-0.2923,0.032632307844549395
133.0,47.627,2.2229,45.4041,0.0842,5.626299350917049e-22
134.0,107.2941,4.5089,102.7852,0.0849,0.010660977135099585
135.0,232.897,9.4029,223.4941,-0.0968,1.0668249107050265e-50
136.0,172.8512,6.9344,165.9168,-0.2351,0.00030933352802658964
